Number,MendeleevNumber,AtomicWeight,MeltingT,Column,Row,CovalentRadius,Electronegativity,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber,K_VRH
18.0,95.66666666666667,40.5982688,74.26333333333334,17.333333333333332,2.6666666666666665,76.66666666666667,3.6533333333333338,2.0,5.333333333333333,3.3333333333333335,0.0,10.666666666666666,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,18.491666666666667,3.8249999999999997,0.0,85.0,42.0
17.8,64.3,39.37473192,158.536,11.8,3.0,110.7,2.815,1.7,3.1,1.0,0.0,5.8,0.3,1.1,0.0,0.0,1.4,33.16541666667,1.182,0.0,84.1,15.0
23.0,88.625,54.1613024,132.55,16.0,2.875,76.625,3.48,2.0,4.0,2.5,1.75,10.25,0.0,1.25,0.0,0.0,1.25,14.5959482758625,1.4775,0.0,49.625,3.0
10.0,82.375,20.36934825,158.39375,15.0,2.375,84.5,2.72125,2.0,3.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,3.0,17.6943080357,4.6325,0.0,122.0,145.0
8.4,69.0,16.998933856,119.66399999999999,12.8,2.2,87.0,2.858,1.8,3.0,0.0,0.0,4.8,0.2,1.8,0.0,0.0,2.0,14.265416666659998,1.2874,0.0,91.8,27.0
8.5,77.25,17.01069275,112.63125,10.25,2.125,79.5,2.64625,1.625,2.375,0.0,0.0,4.0,0.375,1.375,0.0,0.0,1.75,18.165863095237498,2.166375,0.0,83.375,24.0
19.0,65.3,42.967578847999995,222.05699999999996,12.0,3.0,108.7,2.85,1.7,3.3,1.0,0.0,6.0,0.3,0.9,0.0,0.0,1.2,30.049333333329997,1.182,0.0,94.3,44.0
25.8,78.6,61.546978848,214.878,14.2,3.1,92.0,2.9859999999999998,1.9,3.3,3.0,2.8,11.0,0.1,2.1,0.0,0.0,2.2,16.016583333329997,1.182,0.0,77.1,116.0
21.666666666666668,86.16666666666667,50.54376666666666,201.36166666666668,15.666666666666666,2.8333333333333335,85.83333333333333,3.111666666666667,2.0,3.6666666666666665,1.6666666666666667,2.3333333333333335,9.666666666666666,0.0,2.3333333333333335,0.0,0.0,2.3333333333333335,15.0528125,0.367,0.0,57.166666666666664,40.0
15.333333333333334,31.0,31.398666666666667,242.61999999999998,6.0,3.3333333333333335,157.33333333333334,1.6933333333333334,1.3333333333333333,1.3333333333333333,0.0,0.0,2.6666666666666665,0.6666666666666666,0.6666666666666666,0.0,0.0,1.3333333333333333,51.772777777799995,0.0,0.0,156.66666666666666,27.0
